"STATION","NAME","DATE","TOBS"
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-07-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-23",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-08-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-19",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-09-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-03",
